calDate,adCost,clicksCounter,impressionsCounter
2019-03-03,19.6,171,10201
2019-03-04,20.09,160,10806
2019-03-05,17.44,145,8023
2019-03-06,19.54,158,10395
2019-03-07,1.1,11,565
2019-03-08,23.33,110,8755
2019-03-09,23.12,105,9296
2019-03-10,20.07,117,7938
2019-03-11,19.51,106,9633
2019-03-12,25.92,149,10985
2019-03-13,28.92,165,11828
2019-03-14,27.89,129,11857
2019-03-15,28.31,106,10717
2019-03-16,30.759999999999998,152,9607
2019-03-17,30.330000000000002,135,9969
2019-03-18,29.950000000000003,127,9914
2019-03-19,29.78,126,9482
2019-03-20,39.16,173,11500
2019-03-21,57.510000000000005,255,19413
2019-03-22,59.129999999999995,223,12656
2019-03-23,61.83,237,13398
2019-03-24,60.69,299,16556
2019-03-25,55.379999999999995,177,17480
2019-03-26,49.010000000000005,164,11948
2019-03-27,50.67,195,13655
2019-03-28,50.730000000000004,180,13117
2019-03-29,49.03,161,11771
2019-03-30,51.61,155,11535
2019-03-31,50.56,176,13550
2019-04-01,39.35,212,13523
2019-04-02,44.269999999999996,255,18975
2019-04-03,50.44,273,23248
2019-04-04,51.39,277,18790
2019-04-05,50.25,210,14401
2019-04-06,52.56,186,14450
2019-04-07,50.480000000000004,213,14999
2019-04-08,50.11,195,16596
2019-04-09,50.74,195,15412
2019-04-10,57.42,213,15045
2019-04-11,46.52,169,12929
2019-04-12,44.12,177,14371
2019-04-13,39.95,141,10970
2019-04-14,39.980000000000004,177,11602
2019-04-15,39.9,184,14161
2019-04-16,39.92,194,15121
2019-04-17,39.97,153,15659
2019-04-18,39.08,157,13696
2019-04-19,37.03,168,12399
2019-04-20,39.540000000000006,168,13643
2019-04-21,39.39,196,14866
2019-04-22,40.3,240,16978
2019-04-23,38.75,252,19670
2019-04-24,39.09,239,21271
2019-04-25,39.230000000000004,226,18858
2019-04-26,39.230000000000004,211,18679
2019-04-27,41.230000000000004,185,18035
2019-04-28,40.63,214,19920
2019-04-29,40.46,178,23894
2019-04-30,32.52,146,20549
2019-05-01,20.16,123,17826
2019-05-02,20.01,89,17179
2019-05-03,19.99,85,16111
2019-05-04,20.48,101,15378
2019-05-05,20.0,120,15994
2019-05-06,19.92,106,15996
2019-05-07,1.91,8,1505
2019-05-08,46.69,239,24837
2019-05-09,60.97,264,32596
2019-05-10,62.52,284,29348
2019-05-11,62.480000000000004,287,28089
2019-05-12,60.19,323,31712
2019-05-13,59.0,277,30968
2019-05-14,58.99,259,28527
2019-05-15,57.14,281,24326
2019-05-16,59.69,286,23139
2019-05-17,58.879999999999995,239,17718
2019-05-18,62.63,215,16122
2019-05-19,59.44,258,19031
2019-05-20,59.94,229,22119
2019-05-21,68.58,303,21928
2019-05-22,76.52,310,22367
2019-05-23,81.03,354,22713
2019-05-24,78.94,293,22765
2019-05-25,80.81,356,22400
2019-05-26,80.19,365,22427
2019-05-27,77.66,307,24880
2019-05-28,70.51,262,22149
2019-05-29,59.09,207,19429
2019-05-30,60.51,246,19001
2019-05-31,60.209999999999994,234,16711
2019-06-01,61.290000000000006,259,21123
2019-06-02,59.739999999999995,271,22513
2019-06-03,59.53,256,28799
2019-06-04,59.34,253,25813
2019-06-05,59.95,241,21450
2019-06-06,59.61,233,21257
2019-06-07,4.38,26,1253
2019-06-08,69.06,226,19923
2019-06-09,60.33,268,18912
2019-06-10,60.07000000000001,242,21664
