calDate,adCost,clicksCounter,impressionsCounter
2021-08-02,28.45,23.0,184.0
2021-08-03,29.95,28.0,420.0
2021-08-04,54.85,50.0,3429.0
2021-08-05,125.73,127.0,10184.0
2021-08-06,96.65,101.0,9051.0
2021-08-07,92.81,115.0,11405.0
2021-08-08,110.94,134.0,13395.0
2021-08-09,73.24000000000001,97.0,9476.0
2021-08-10,50.54,71.0,4836.0
2021-08-11,61.629999999999995,111.0,10823.0
2021-08-12,109.32,190.0,21956.0
2021-08-13,60.86,143.0,23036.0
2021-08-14,78.25999999999999,172.0,23378.0
2021-08-15,53.329837000000005,120.0,20064.0
2021-08-16,85.77,186.0,27017.0
2021-08-17,60.48,151.0,26151.0
2021-08-18,82.12,191.0,31048.0
2021-08-19,119.931115,225.0,30016.0
2021-08-20,74.5,163.0,25106.0
2021-08-21,83.6,185.0,28457.0
2021-08-22,85.32000000000001,195.0,26884.0
2021-08-23,73.47,156.0,18329.0
2021-08-24,24.28,50.0,7992.0
2021-08-26,14.66,20.0,2040.0
2021-08-27,110.51,201.0,29414.0
2021-08-28,67.509823,137.0,19244.0
2021-08-29,79.80374,157.0,20535.0
2021-08-30,110.783116,225.0,25920.0
2021-08-31,106.086292,223.0,23596.0
2021-09-01,91.58,207.0,25338.0
2021-09-02,88.99,208.0,23894.0
2021-09-03,80.2,145.0,23932.0
2021-09-04,74.68,175.0,20702.0
2021-09-05,75.546993,156.0,17348.0
2021-09-06,73.990152,193.0,24089.0
2021-09-07,74.17,202.0,25321.0
2021-09-08,73.422292,190.0,24785.0
2021-09-09,46.28,159.0,16745.0
2021-09-10,68.67058,186.0,19385.0
2021-09-11,61.349999999999994,186.0,16690.0
2021-09-12,83.81,211.0,14989.0
2021-09-13,103.952742,247.0,17531.0
2021-09-14,85.94,192.0,16427.0
2021-09-15,289.181252,425.0,22864.0
2021-09-16,183.57843400000002,273.0,15212.0
2021-09-17,176.07,292.0,17062.0
2021-09-18,159.99,225.0,10733.0
2021-09-19,160.94,297.0,16220.0
2021-09-20,188.73,338.0,20513.0
2021-09-21,187.13,338.0,19207.0
2021-09-22,157.32,240.0,14423.0
2021-09-23,119.7,258.0,20918.0
2021-09-24,106.51,215.0,20247.0
2021-09-25,91.23,173.0,14722.0
2021-09-26,100.740004,205.0,13381.0
2021-09-27,135.15,246.0,16362.0
2021-09-28,96.77,205.0,15465.0
2021-09-29,90.03999999999999,218.0,17382.0
2021-09-30,107.89999999999999,252.0,15157.0
2021-10-01,86.45,202.0,10833.0
2021-10-02,39.54,108.0,8174.0
2021-10-03,31.21,95.0,7017.0
2021-10-04,75.60000000000001,196.0,15263.0
2021-10-05,70.11,143.0,10560.0
2021-10-06,89.02,229.0,19988.0
2021-10-07,51.54,149.0,9271.0
2021-10-08,65.82,141.0,12675.0
2021-10-09,77.09,167.0,11567.0
2021-10-10,57.73,152.0,11450.0
2021-10-11,72.85,168.0,10996.0
2021-10-12,90.29,203.0,17092.0
2021-10-13,80.74,235.0,25262.0
2021-10-14,52.86,138.0,4778.0
2021-10-15,66.85,153.0,15764.0
2021-10-16,36.95,75.0,6458.0
2021-10-17,36.924604,97.0,14517.0
2021-10-18,47.045722,143.0,18468.0
2021-10-19,44.357449,142.0,17808.0
2021-10-20,44.529686,125.0,15906.0
2021-10-21,51.777336,163.0,14338.0
2021-10-22,33.5,122.0,11371.0
2021-10-23,26.77,107.0,11333.0
2021-10-24,19.66922,75.0,11156.0
2021-10-25,52.05,156.0,17435.0
2021-10-26,64.190912,181.0,22206.0
2021-10-27,53.581648,175.0,24229.0
2021-10-28,29.490000000000002,110.0,18739.0
2021-10-29,47.050977,154.0,18377.0
2021-10-30,34.954837,155.0,17995.0
2021-10-31,32.224074,157.0,16456.0
2021-11-01,41.17,184.0,25582.0
2021-11-02,41.406382,196.0,22893.0
2021-11-03,44.128482999999996,201.0,24162.0
2021-11-04,23.276985,64.0,4399.0
