calDate,connectionStream,totDailyGrossRevenue
2018-08-26,1.amazon_seller,32.0
2018-08-27,1.amazon_seller,0.0
2018-08-28,1.amazon_seller,0.0
2018-08-29,1.amazon_seller,0.0
2018-08-30,1.amazon_seller,0.0
2018-08-31,1.amazon_seller,0.0
2018-09-01,1.amazon_seller,0.0
2018-09-02,1.amazon_seller,0.0
2018-09-03,1.amazon_seller,0.0
2018-09-04,1.amazon_seller,0.0
2018-09-05,1.amazon_seller,0.0
2018-09-06,1.amazon_seller,0.0
2018-09-07,1.amazon_seller,0.0
2018-09-08,1.amazon_seller,0.0
2018-09-09,1.amazon_seller,0.0
2018-09-10,1.amazon_seller,0.0
2018-09-11,1.amazon_seller,0.0
2018-09-12,1.amazon_seller,0.0
2018-09-13,1.amazon_seller,0.0
2018-09-14,1.amazon_seller,0.0
2018-09-15,1.amazon_seller,0.0
2018-09-16,1.amazon_seller,0.0
2018-09-17,1.amazon_seller,0.0
2018-09-18,1.amazon_seller,0.0
2018-09-19,1.amazon_seller,0.0
2018-09-20,1.amazon_seller,0.0
2018-09-21,1.amazon_seller,0.0
2018-09-22,1.amazon_seller,0.0
2018-09-23,1.amazon_seller,0.0
2018-09-24,1.amazon_seller,0.0
2018-09-25,1.amazon_seller,0.0
2018-09-26,1.amazon_seller,0.0
2018-09-27,1.amazon_seller,0.0
2018-09-28,1.amazon_seller,0.0
2018-09-29,1.amazon_seller,0.0
2018-09-30,1.amazon_seller,0.0
2018-10-01,1.amazon_seller,0.0
2018-10-02,1.amazon_seller,0.0
2018-10-03,1.amazon_seller,0.0
2018-10-04,1.amazon_seller,0.0
2018-10-05,1.amazon_seller,0.0
2018-10-06,1.amazon_seller,0.0
2018-10-07,1.amazon_seller,0.0
2018-10-08,1.amazon_seller,0.0
2018-10-09,1.amazon_seller,0.0
2018-10-10,1.amazon_seller,0.0
2018-10-11,1.amazon_seller,0.0
2018-10-12,1.amazon_seller,0.0
2018-10-13,1.amazon_seller,0.0
2018-10-14,1.amazon_seller,18.99
2018-10-15,1.amazon_seller,0.0
2018-10-16,1.amazon_seller,0.0
2018-10-17,1.amazon_seller,0.0
2018-10-18,1.amazon_seller,0.0
2018-10-19,1.amazon_seller,0.0
2018-10-20,1.amazon_seller,0.0
2018-10-21,1.amazon_seller,0.0
2018-10-22,1.amazon_seller,0.0
2018-10-23,1.amazon_seller,0.0
2018-10-24,1.amazon_seller,0.0
2018-10-25,1.amazon_seller,0.0
2018-10-26,1.amazon_seller,0.0
2018-10-27,1.amazon_seller,0.0
2018-10-28,1.amazon_seller,0.0
2018-10-29,1.amazon_seller,0.0
2018-10-30,1.amazon_seller,0.0
2018-10-31,1.amazon_seller,18.99
2018-11-01,1.amazon_seller,0.0
2018-11-02,1.amazon_seller,0.0
2018-11-03,1.amazon_seller,0.0
2018-11-04,1.amazon_seller,0.0
2018-11-05,1.amazon_seller,0.0
2018-11-06,1.amazon_seller,0.0
2018-11-07,1.amazon_seller,0.0
2018-11-08,1.amazon_seller,0.0
2018-11-09,1.amazon_seller,0.0
2018-11-10,1.amazon_seller,0.0
2018-11-11,1.amazon_seller,0.0
2018-11-12,1.amazon_seller,0.0
2018-11-13,1.amazon_seller,0.0
2018-11-14,1.amazon_seller,0.0
2018-11-15,1.amazon_seller,0.0
2018-11-16,1.amazon_seller,0.0
2018-11-16,1.woocommerce,26.98
2018-11-17,1.amazon_seller,0.0
2018-11-17,1.woocommerce,0.0
2018-11-18,1.amazon_seller,0.0
2018-11-18,1.woocommerce,0.0
2018-11-19,1.amazon_seller,0.0
2018-11-19,1.woocommerce,0.0
2018-11-20,1.amazon_seller,0.0
2018-11-20,1.woocommerce,0.0
2018-11-21,1.amazon_seller,0.0
2018-11-21,1.woocommerce,0.0
2018-11-22,1.amazon_seller,0.0
2018-11-22,1.woocommerce,0.0
2018-11-23,1.amazon_seller,0.0
2018-11-23,1.woocommerce,0.0
2018-11-24,1.amazon_seller,0.0
2018-11-24,1.woocommerce,0.0
2018-11-25,1.amazon_seller,0.0
2018-11-25,1.woocommerce,0.0
2018-11-26,1.amazon_seller,0.0
2018-11-26,1.woocommerce,0.0
2018-11-27,1.amazon_seller,0.0
2018-11-27,1.woocommerce,0.0
2018-11-28,1.amazon_seller,0.0
2018-11-28,1.woocommerce,0.0
2018-11-29,1.amazon_seller,0.0
2018-11-29,1.woocommerce,0.0
2018-11-30,1.amazon_seller,0.0
2018-11-30,1.woocommerce,0.0
2018-12-01,1.amazon_seller,0.0
2018-12-01,1.woocommerce,0.0
2018-12-02,1.amazon_seller,0.0
2018-12-02,1.woocommerce,0.0
2018-12-03,1.amazon_seller,0.0
2018-12-03,1.woocommerce,0.0
2018-12-04,1.amazon_seller,0.0
2018-12-04,1.woocommerce,0.0
2018-12-05,1.amazon_seller,0.0
2018-12-05,1.woocommerce,0.0
2018-12-06,1.amazon_seller,0.0
2018-12-06,1.woocommerce,0.0
2018-12-07,1.amazon_seller,0.0
2018-12-07,1.woocommerce,0.0
2018-12-08,1.amazon_seller,0.0
2018-12-08,1.woocommerce,0.0
2018-12-09,1.amazon_seller,0.0
2018-12-09,1.woocommerce,0.0
2018-12-10,1.amazon_seller,0.0
2018-12-10,1.woocommerce,0.0
2018-12-11,1.amazon_seller,0.0
2018-12-11,1.woocommerce,0.0
2018-12-12,1.amazon_seller,0.0
2018-12-12,1.woocommerce,0.0
2018-12-13,1.amazon_seller,0.0
2018-12-13,1.woocommerce,0.0
2018-12-14,1.amazon_seller,0.0
2018-12-14,1.woocommerce,0.0
2018-12-15,1.amazon_seller,0.0
2018-12-15,1.woocommerce,0.0
2018-12-16,1.amazon_seller,0.0
2018-12-16,1.woocommerce,0.0
2018-12-17,1.amazon_seller,0.0
2018-12-17,1.woocommerce,0.0
2018-12-18,1.amazon_seller,0.0
2018-12-18,1.woocommerce,0.0
2018-12-19,1.amazon_seller,0.0
2018-12-19,1.woocommerce,0.0
2018-12-20,1.amazon_seller,0.0
2018-12-20,1.woocommerce,0.0
2018-12-21,1.amazon_seller,0.0
2018-12-21,1.woocommerce,0.0
2018-12-22,1.amazon_seller,0.0
2018-12-22,1.woocommerce,0.0
2018-12-23,1.amazon_seller,0.0
2018-12-23,1.woocommerce,0.0
2018-12-24,1.amazon_seller,0.0
2018-12-24,1.woocommerce,0.0
2018-12-25,1.amazon_seller,0.0
2018-12-25,1.woocommerce,0.0
2018-12-26,1.amazon_seller,0.0
2018-12-26,1.woocommerce,0.0
2018-12-27,1.amazon_seller,0.0
2018-12-27,1.woocommerce,4.99
2018-12-28,1.amazon_seller,0.0
2018-12-28,1.woocommerce,0.0
2018-12-29,1.amazon_seller,0.0
2018-12-29,1.woocommerce,0.0
2018-12-30,1.amazon_seller,0.0
2018-12-30,1.woocommerce,0.0
2018-12-31,1.amazon_seller,0.0
2018-12-31,1.woocommerce,0.0
2019-01-01,1.amazon_seller,0.0
2019-01-01,1.woocommerce,0.0
2019-01-02,1.amazon_seller,0.0
2019-01-02,1.woocommerce,0.0
2019-01-03,1.amazon_seller,0.0
2019-01-03,1.woocommerce,53.65
2019-01-04,1.amazon_seller,0.0
2019-01-04,1.woocommerce,0.0
2019-01-05,1.amazon_seller,0.0
2019-01-05,1.woocommerce,0.0
2019-01-06,1.amazon_seller,0.0
2019-01-06,1.woocommerce,0.0
2019-01-07,1.amazon_seller,0.0
2019-01-07,1.woocommerce,0.0
2019-01-08,1.amazon_seller,0.0
2019-01-08,1.woocommerce,0.0
2019-01-09,1.amazon_seller,0.0
2019-01-09,1.woocommerce,0.0
2019-01-10,1.amazon_seller,0.0
2019-01-10,1.woocommerce,0.0
2019-01-11,1.amazon_seller,0.0
2019-01-11,1.woocommerce,0.0
2019-01-12,1.amazon_seller,0.0
2019-01-12,1.woocommerce,0.0
2019-01-13,1.amazon_seller,0.0
2019-01-13,1.woocommerce,0.0
2019-01-14,1.amazon_seller,0.0
2019-01-14,1.woocommerce,0.0
2019-01-15,1.amazon_seller,0.0
2019-01-15,1.woocommerce,0.0
2019-01-16,1.amazon_seller,0.0
2019-01-16,1.woocommerce,0.0
2019-01-17,1.amazon_seller,0.0
2019-01-17,1.woocommerce,0.0
2019-01-18,1.amazon_seller,0.0
2019-01-18,1.woocommerce,0.0
2019-01-19,1.amazon_seller,0.0
2019-01-19,1.woocommerce,0.0
2019-01-20,1.amazon_seller,0.0
2019-01-20,1.woocommerce,0.0
2019-01-21,1.amazon_seller,0.0
2019-01-21,1.woocommerce,27.99
2019-01-22,1.amazon_seller,0.0
2019-01-22,1.woocommerce,0.0
2019-01-23,1.amazon_seller,18.99
2019-01-23,1.woocommerce,0.0
2019-01-24,1.woocommerce,0.0
2019-01-24,1.amazon_seller,0.0
2019-01-25,1.woocommerce,0.0
2019-01-25,1.amazon_seller,0.0
2019-01-26,1.woocommerce,0.0
2019-01-26,1.amazon_seller,0.0
2019-01-27,1.woocommerce,0.0
2019-01-27,1.amazon_seller,0.0
2019-01-28,1.amazon_seller,0.0
2019-01-28,1.woocommerce,0.0
2019-01-29,1.amazon_seller,21.99
2019-01-29,1.woocommerce,0.0
2019-01-30,1.woocommerce,0.0
2019-01-30,1.amazon_seller,0.0
2019-01-31,1.woocommerce,0.0
2019-01-31,1.amazon_seller,0.0
2019-02-01,1.amazon_seller,0.0
2019-02-01,1.woocommerce,0.0
2019-02-02,1.amazon_seller,0.0
2019-02-02,1.woocommerce,19.59
2019-02-03,1.amazon_seller,0.0
2019-02-03,1.woocommerce,0.0
2019-02-04,1.amazon_seller,0.0
2019-02-04,1.woocommerce,0.0
2019-02-05,1.amazon_seller,0.0
2019-02-05,1.woocommerce,15.39
2019-02-06,1.amazon_seller,21.99
2019-02-06,1.woocommerce,18.69
2019-02-07,1.amazon_seller,0.0
2019-02-07,1.woocommerce,0.0
2019-02-08,1.amazon_seller,43.98
2019-02-08,1.woocommerce,0.0
2019-02-09,1.amazon_seller,0.0
2019-02-09,1.woocommerce,0.0
2019-02-10,1.amazon_seller,0.0
2019-02-10,1.woocommerce,138.97
2019-02-11,1.amazon_seller,0.0
2019-02-11,1.woocommerce,213.42
2019-02-12,1.amazon_seller,0.0
2019-02-12,1.woocommerce,0.0
2019-02-13,1.amazon_seller,21.99
2019-02-13,1.woocommerce,0.0
2019-02-14,1.amazon_seller,0.0
2019-02-14,1.woocommerce,0.0
2019-02-15,1.amazon_seller,0.0
2019-02-15,1.woocommerce,0.0
2019-02-16,1.amazon_seller,0.0
2019-02-16,1.woocommerce,0.0
2019-02-17,1.amazon_seller,0.0
2019-02-17,1.woocommerce,0.0
2019-02-18,1.amazon_seller,0.0
2019-02-18,1.woocommerce,0.0
2019-02-19,1.amazon_seller,0.0
2019-02-19,1.woocommerce,0.0
2019-02-20,1.amazon_seller,0.0
2019-02-20,1.woocommerce,0.0
2019-02-21,1.amazon_seller,0.0
2019-02-21,1.woocommerce,15.39
2019-02-22,1.amazon_seller,0.0
2019-02-22,1.woocommerce,0.0
2019-02-23,1.amazon_seller,0.0
2019-02-23,1.woocommerce,0.0
2019-02-24,1.amazon_seller,0.0
2019-02-24,1.woocommerce,0.0
2019-02-25,1.amazon_seller,0.0
2019-02-25,1.woocommerce,32.89
2019-02-26,1.amazon_seller,0.0
2019-02-26,1.woocommerce,19.59
2019-02-27,1.amazon_seller,0.0
2019-02-27,1.woocommerce,0.0
2019-02-28,1.amazon_seller,0.0
2019-02-28,1.woocommerce,13.29
2019-03-01,1.woocommerce,52.680000000000007
2019-03-01,1.amazon_seller,0.0
2019-03-02,1.woocommerce,44.18
2019-03-02,1.amazon_seller,0.0
2019-03-03,1.woocommerce,124.06
2019-03-03,1.amazon_seller,0.0
2019-03-04,1.woocommerce,88.97
2019-03-04,1.amazon_seller,0.0
2019-03-05,1.woocommerce,0.0
2019-03-05,1.amazon_seller,0.0
2019-03-06,1.woocommerce,53.519999999999996
2019-03-06,1.amazon_seller,0.0
2019-03-07,1.woocommerce,0.0
2019-03-07,1.amazon_seller,0.0
2019-03-08,1.woocommerce,0.0
2019-03-08,1.amazon_seller,0.0
2019-03-09,1.woocommerce,0.0
2019-03-09,1.amazon_seller,0.0
2019-03-10,1.woocommerce,0.0
2019-03-10,1.amazon_seller,0.0
2019-03-11,1.woocommerce,0.0
2019-03-11,1.amazon_seller,20.49
2019-03-12,1.woocommerce,0.0
2019-03-12,1.amazon_seller,20.49
2019-03-13,1.woocommerce,0.0
2019-03-13,1.amazon_seller,0.0
2019-03-14,1.woocommerce,0.0
2019-03-14,1.amazon_seller,0.0
2019-03-15,1.woocommerce,0.0
2019-03-15,1.amazon_seller,0.0
2019-03-16,1.woocommerce,0.0
2019-03-16,1.amazon_seller,0.0
2019-03-17,1.woocommerce,0.0
2019-03-17,1.amazon_seller,0.0
2019-03-18,1.woocommerce,0.0
2019-03-18,1.amazon_seller,0.0
2019-03-19,1.woocommerce,0.0
2019-03-19,1.amazon_seller,0.0
2019-03-20,1.woocommerce,0.0
2019-03-20,1.amazon_seller,0.0
2019-03-21,1.woocommerce,0.0
2019-03-21,1.amazon_seller,0.0
2019-03-22,1.woocommerce,45.5
2019-03-22,1.amazon_seller,12.29
2019-03-23,1.woocommerce,0.0
2019-03-23,1.amazon_seller,0.0
2019-03-24,1.woocommerce,0.0
2019-03-24,1.amazon_seller,0.0
2019-03-25,1.woocommerce,0.0
2019-03-25,1.amazon_seller,0.0
2019-03-26,1.woocommerce,0.0
2019-03-26,1.amazon_seller,0.0
2019-03-27,1.woocommerce,0.0
2019-03-27,1.amazon_seller,0.0
2019-03-28,1.woocommerce,0.0
2019-03-28,1.amazon_seller,0.0
2019-03-29,1.woocommerce,0.0
2019-03-29,1.amazon_seller,0.0
2019-03-30,1.woocommerce,0.0
2019-03-30,1.amazon_seller,0.0
2019-03-31,1.woocommerce,0.0
2019-03-31,1.amazon_seller,0.0
2019-04-01,1.woocommerce,0.0
2019-04-01,1.amazon_seller,0.0
2019-04-02,1.amazon_seller,0.0
2019-04-02,1.woocommerce,0.0
2019-04-03,1.woocommerce,77.57
2019-04-03,1.amazon_seller,0.0
2019-04-04,1.amazon_seller,21.99
2019-04-04,1.woocommerce,0.0
2019-04-05,1.woocommerce,0.0
2019-04-05,1.amazon_seller,0.0
2019-04-06,1.woocommerce,0.0
2019-04-06,1.amazon_seller,0.0
2019-04-07,1.woocommerce,0.0
2019-04-07,1.amazon_seller,0.0
2019-04-08,1.woocommerce,33.99
2019-04-08,1.amazon_seller,21.99
2019-04-09,1.amazon_seller,0.0
2019-04-09,1.woocommerce,0.0
2019-04-10,1.amazon_seller,0.0
2019-04-10,1.woocommerce,0.0
2019-04-11,1.woocommerce,34.83
2019-04-11,1.amazon_seller,0.0
2019-04-12,1.woocommerce,0.0
2019-04-12,1.amazon_seller,0.0
2019-04-13,1.woocommerce,0.0
2019-04-13,1.amazon_seller,0.0
2019-04-14,1.woocommerce,0.0
